	제목+본문
0	이시간에 카카오메인이 조선이 싹쓸이하네메인 개 뉴스중에 개가 조선개가 동아 개가 듣보잡 인터넷언론이러니 주가가 이모양이지
1	돈은 많이 받으면서근무시간에 오디오라인 열어놓는게 불만이라니그냥 집에서 누워서 보면서 근무하고 싶나보다 그냥 출근 시켜라 주가 반토막났는데도 성과급이랑 월급 인상해서 꼬박꼬박 다 처받아가면서 불만 졸라 많네
2	유영두 할아버지 넘 실망이에요토른방에 남겨진 유영두 할아버지에 대한 댓글 입니다범수 똘마니 의심 생긴것이 사기꾼영두 방송보면서 사기꾼인지 모르면 주식 접어라이런 댓글들을 보게되면 할아버지께 너무 실망감이 큽니다할아버지 이런 댓글들이 증말 사실은 아니겠지요저는 할아버지만 믿어요
3	빡빡이 하는짓 보면 모르나김범수가 일궈낸 자리 편하게 앉아서 메타버스 빌미로 날로 먹을려고 하는거지카카오 대표 빡빡이로 바뀌고나서 직원들만 배불리기만했지 개선은 되긴 했냐
4	한오백년 전쟁하자는 미필 양키괴뢰우리는 원래 하나였으나 미소에 의해 강제로 분단 당했습니다피눈물도 없다는 유태계 양키 군산복합체놈들 천문학적인 재고무기 소진용 로핏줄들 만명이 학살당한 비운의 슬픈 민족이었습니다양키 점령치하 년째 지구상 유일한 전작권도 없는 양키 괴뢰 형태의 국군북한은 국내법상 불법 단체 범법자들로 통일 대상이지 주적은 아닌 것입니다그런데 미필 윤석열 정권에서 북한을 주적이라니양키 사냥개가 확실해졌습니다전 미국무장관 틸러슨의 직언 일본은 동맹 한국은 파트너라 직시했지요달리말해 미 외교격 동맹친구파트너에서 한국은 친구도 아닌 파트너 즉 앞잡이그런데 동맹 타령하며 하루 억이상씩 주둔비등으로 강탈당하는 치욕속에 충성
5	전라도아직 식인문화풍습 있나요여행가볼까하는데안전한 지역동네 알려주세요
6	지주회사 반등하네땅값상승 가즈아
7	월을 맞이하여카카오주주로써 오랜시간 겪어온 하락이이제 단기 골크를 앞두고이평 조절을 하고 있고지리하게도 조정받던 일들도이제 단기 마무리를 짓고상승곡선을 그리고 있지요월은 만닷컴이라는목표를 가지고진군하는 한달이 될것이고앞으로 오랜 시간이 걸리겠지만디지털 시간은세상에 받아들여야 하는 업보입니다허니 급하지 않다면만닷컴까지뚜벅뚜벅 걸어가도가능하리라 봅니다삼전 시총만 가면 됩니다홧팅앞으로 글은한달에 한번씩만 올립니다
8	버스토큰엔 라는단어는없지만는 누가나가잘알고있는 그단어의 이다
9	대표 최저시급 받는거 인증했냐궁금하다 그런데 말입니다슈카 평단 얼마에 물려있을까
10	고교생투표권 폐지해야한다특정 정치세력이 학교를 정치장화하고 학생들을 정치 도구화하는 고투표권 다시 재고해야한다교육기본법에는 교육은 정치적파당적 또는 개인적 편견을 전파하기 위한 방편으로 이용되어서는 아니 된다제조 제항 교원은 특정한 정당이나 정파를 지지하거나 반대하기 위하여 학생을 지도하거나 선동하여서는 아니 된다제조 제항고 적시돼 있다보수 진보라는 이념적 대립이 학교를 오염시키고 정치권과 이념세력까지 고등학교에 들어온다는것은 말이안된다특히 만세부터 성인으로 명시해 만세까지는 단독으로 법률상 유효행위를 할 수 없도록 한 민법과 충돌한다 또 민법에 근거해 만세 미만을 청소년으로 규정하고 술담배 등 유해약물은 물론 유해업소 유해매체로부터 보호하는 청소년보호법과도 정면 배치된다 이처럼 성년 연령 조정에 따른 부작용과 혼란 해소 법령 정비에 대해 다시 논의하고 대책 마련이 필요하다그리고 전교조가 장악한 학교에 보수가 어디 있나학생들 대부분을 좌편향으로 만드는데 학생들 표가 어디로 갈지는 자명한 일이다학생들 정치화시키지말고 촉법소년이나 안나오게 인성교육이나 똑바로 시켜라수업시간에 잠자는것 깨웠다고 학생이 선생을 칼로 찌르는게 오늘날 대한민국 교육계의 현실이다교사가 잠깨우고 꾸짖자 밖에 나가 칼 훔쳐와 찌른 고교생 구속관련기사  이게 다 좌파교육감과 전교조들의 작품아닌가고이면 미성년자다만세 선거권 재고해야한다
11	요즘 고교생이 청소년이냐초등학생도 술마시고 담배피는데 새삼스럽게그냥 투표하게 해주고 청소년 보호법 없애는게 베스트다아님 년대처럼 교생이 맨주먹으로 아갈창날리고 빠따로 체벌할수있게 허용 해주던가
12	이대로만 쭉 가자가자가자가자가자가자
13	뒤통수조심허라 했다
14	년차 주주오늘 푹 쉬고 내일 또 뛰어봅시다
15	성공 실패
16	메타버스 근무제메타버스 근무제
17	껍데기만 남은 회사돈 되는 부문은 모조리 분할해서 자회사로 떼어내고카카오에 남은 게 뭐가 있나사려면 따로 상장시킨 자회사를 사야지구글 유튜브 구글 검색 구글 광고 이런 식으로 물적분할해버린 구글 주식 본 적 있나구글은 안 하는 짓을 카카오는 그렇게 하고 있지
18	유영두만원간다고 합니다 ㅋ이제 만원씩 한방에 받더만 ㅋ카카오로 돈 제일 마니 벌어서 배부르겠다
19	반토막작년에 최고가 찍더니반토막이네
20	외국인들 만천원을 만들어버리네 만 천원 까지 급상승 예상 월월 상승 강력매수 개인적 분석임을 알려드리며 투자에는 책임을 지지 않습니다
21	지선 긴급속보더불어 위선자당 더불어 만진당 더불어 조국당 지방선거 참패 추카추카  대장동 백현동 성남  해드시고 분당무서워 계양으로 튀셨나 ㅎㅋ 위선자 문정권 끝났으니 년안에 만돌파
22	수익창출을배달에 숟가락 언저서아진짜 마약대가리들
23	쏭 영기라 잘가그래이 멀리 안나간다너네들이 카톡 규제한다고 뻘소리하는 바람에 지금도 본전될려면 천이다이제 다시는 볼일 제글고너네들 카톡도 쓰지 마라글고 어제 밤에 계속 글지운넘너 더불어서 만진당인거 다안다너도 반성해라
24	꿈이 사라진 기업동네갑질만 하더만 이젠 네버만도 못하네중소사것 가져와 이정도로 만들었으니 이젠 끝났으면한다개 시팍  회사 상장해서 종이장사에 이 상부층이니
25	요약쌀값은 쌀 수확기이고 벼가 풍부함에도 불구하고 지난 주간 당  올랐다다른 주방 시장에서 거친 쌀의 가격은 당  로 올랐고 고급 쌀은 어제  에서  에 판매되었습니다모든 최신 뉴스를 보려면  의  뉴스 채널을 팔로우하세요방글라데시 무역공사에 따르면 잡곡과 고운 쌀 가격은 지난 일 동안 각각   올랐다상인들은 정미소 소유주가 시장에 충분한 쌀을 공급하지 않고 있으며 공급을 개선하지 않으면 가격이 더 오를 수 있다고 말했습니다   의   국장은 질문에 대해 농부들이 작년보다 헥타르 더 많은 만 헥타르에서 보로를 경작했기 때문에 시장에 쌀이 부족하지 않았다고 말했습니다그는 이번 시즌에 약 헥타르의 논에서만 홍수로 피해를 입었다고 말했습니다 게다가 연출도 좋았다는 이번  시즌에 만 톤의 논을 수확할 것으로 예상했으며 목표의 거의 가 이미 달성되었다고 덧붙였습니다게다가 이달 말까지 전국 각지에서 농부들이 계속해서 논에서 벼를 가져옵니다그는 시장에서 인위적인 부족을 초래한 상인과 제분업자를 비난했습니다그러나 다른 지역의 여러 정미소 주인들은 농민들에게서 구입한 벼가 제대로 익지 않았고 즉시 쌀을 생산할 만큼 충분히 건조되지 않았다고 말했습니다한편 정부가 물가를 통제하기 위해 전국을 습격했지만 첫날부터 큰 효과를 거두지 못했다어제 오후 관리들이 올드다카 바부바자르의 쌀 도매시장에서 드라이브를 했지만 대부분의 상점이 문을 닫은 것으로 나타났습니다식약처와 식약처 관계자 팀이 오늘 수도에서 드라이브를 할 예정입니다이 운동은 내각이 관리들에게 승인되지 않은 쌀 사업과 비축에 연루된 회사에 대한 조치를 취하도록 지시한 지 하루 만에 시작되었습니다칸드커 안와룰 이슬람   내무장관은 일요일 법적 승인 없이 일부 대기업이 쌀을 사재기하고 있다고 말했습니다어제 수도 나할파라 주민인  은 수도의 한 주방장에서 미니켓 쌀을 당 에 샀다 다른 생필품 가격이 오르자 로 바꿨다  였습니다 이제 는 당  입니다그는 지출을 줄이기 위해 정말 열심히 노력하고 있지만 실패하고 있다고 말했다비난하기국내 최대 규모의 쌀 시장 중 하나인 의  시장에서 우리 특파원은 어제  쌀  자루당         에 판매되었음을 발견했습니다     상인들은  자루의 가격이 주 동안   인상되었다고 말했습니다시장의 가게 주인 골람 라바니는 가격이 거의 매일 바뀌고 있다고 말했다 그는 이에 대해 정미소 주인을 비난했습니다반면에    의 공동 비서인   는 방앗간 소유주가 벼를 더 높은 가격에 구매하고 있다고 주장했습니다의 쌀 가격은 토요일에 당  인상되었습니다  의 전무이사인  은 을 따라 벼 가격을 비난했습니다그러나 농부들은 동의하지 않습니다의 의 논 재배자인  은 논 가격이 오르지 않았다고 말했습니다에서 쌀 상인들은 공급 부족을 비난했습니다 비 우박폭풍 해충의 공격은 벼 수확량을 크게 감소시켰다고 그들은 말했다의 벼 및 쌀 재고 및 도매업자 협회 회장인   는  지역의 쌀 생산량이 헥타르당 예상보다 톤 적었다고 말했습니다그는 제분업자들이 쌀을 생산하고 공급할 수 있기 때문에 이번 주에 쌀 가격이 하락할 것으로 기대한다고 말했다  및 의 기자들이 이 보고서에 기여했습니다요약 인도 식량 자원 무기화관련주 신송홀딩스
26	내가 말했재카카오는 너무 씹거품이라고 네이버사라고 ㅋㅋㅋ네이버는 살만하다난 둘다 안사지만ㅋㅋㅋㅋ
