,title + body
0,"At this time, Kakao Main is swept away by Joseon. Among the dog news, the stock price is different because it is the Internet media."
1,"I get a lot of money and I'm dissatisfied with keeping the audio line open during working hours. I don't want to just lie down at home and watch. Just let me go to work. Even though the week was cut in half, I got a lot of dissatisfaction as I got the bonus and pay raises."
2,"Grandpa Yoo Young-doo is very disappointing This is a comment about Grandpa Yoo Young-doo left in the torn room Beom-soo's idiot is a scammer Watching Young-doo's broadcast and not knowing if he's a scammer If you see the comments, you're very disappointed with your grandfather. I only trust my grandfather"
3,"don't know what they're doing, but I don't know what Kim Bum-soo did. I sit comfortably and try to eat raw as an excuse for the metaverse. After I changed to Kakao's CEO, I was only satisfied with the staff. Was there any improvement?"
4,"The unwritten Yankee puppets who wanted to fight a 500-year war were originally one, but they were forcibly divided by the smiles. Jewish Yankees military-industrial complexes who said they had no tears of blood. Raw bloodlines used to run out of astronomical inventory. 10,000 people were slaughtered. The ROK Army in the form of a Yankee puppet without OPCON is illegal group offenders under domestic law, and it is the target of unification, not the main enemy. In other words, in the US diplomatic alliance friend partner, Korea is a partner that is not a friend, that is, a minion."
5,Is there still cannibal culture custom in Jeolla-do?
6,Holding company rebounds Land price rises Kazua
7,"With the coming of the month, the decline that has been going on for a long time as a Kakao shareholder is now adjusting the share price ahead of the short-term goal, and the things that have been terribly adjusted are now finishing the short-term and drawing an upward curve. This will be and it will take a long time in the future, but digital time is a karma that the world has to accept. Honey, if you are not in a hurry, you can walk all the way to the dot com."
8,"There is no word 'in Bus Token', but it is of the word that anyone knows well"
9,I wonder if you have certified that you are receiving the minimum wage for a representative
10,"High school student voting rights should be abolished. High voting rights, which certain political forces make schools political and students political instruments, should be reconsidered. According to the Framework Act on Education, education should not be used as a means to spread political partisan or personal prejudice Students must not guide or instigate students to support or oppose a particular political party or faction. It is in conflict with the Civil Act, which specifies that a person is an adult and prohibits him from performing legally effective acts alone until the age of life. As such, it is necessary to discuss the revision of laws and to come up with measures to resolve the side effects and confusion caused by the adjustment of the age of majority. It's one thing to do. Don't politicize the students. Make sure that you don't politicize the students. Make sure that you do character education so that you don't have boys. It's a reality in the education world in Korea today where a student stabs a teacher with a knife for waking him up while he was sleeping. Related Articles If this isn't the work of the left-wing superintendent of education and teaching, then minors should reconsider their voting rights."
11,"Are high school students teenagers these days? Even elementary school students drink and smoke, but it is not best to just let them vote and get rid of the youth protection law."
12,"Let's go on like this, let's go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go let"
13,I told you to be careful with the back of your head
14,Year-old shareholders Let's rest today and run again tomorrow
15,success failure
16,Metaverse work system Metaverse work system
17,"If you want to buy what's left in Kakao, you have to buy a separately listed subsidiary. Have you ever seen Google stocks that have been split in this way? Google doesn't Damn Kakao is doing that"
18,"They say it's going to go up to two thousand won ㅋ Now I get 10,000 won at once, but I'll make the most money with cacao so I'll be full."
19,It was cut in half. Last year's best shot was cut in half.
20,"Foreigners make 10,000 won. Expected to rise sharply to 10,000 won. Monthly rise. Strong buy. I inform you that this is a personal analysis and I am not responsible for the investment."
21,"In addition to the emergency breaking news, the Hypocrites Party and the Manjin Party and the Fatherland Party suffered a devastating local election Chuka Chuka Daejang-dong Baekhyeon-dong Seongnam, and they fled to Gyeyang because they were afraid of Bundang."
22,"Spoonful of monetization delivery, real drug lords"
23,"Goodbye, good-bye, I’m not going far. You guys are blaming me for regulating Kakao Talk, so it’s a thousand bucks to get it right. do it"
24,"company where dreams have disappeared, but now I can't even get enough of Never. I brought small and medium-sized things and made it like this, so I hope it's over now."
25,"Summary Rice prices are rice harvest season and rice prices have risen per per day despite rice plentiful. In other kitchen markets, coarse rice prices have risen per per and fine rice sold yesterday at Coarse grain and fine rice prices have risen respectively over the past day, according to Merchants, saying that mill owners aren't supplying enough rice to the market and prices could rise further if supplies don't improve, the Commissioner said in response to the question, when farmers said that farmers had He said there was no shortage of rice in the market because more 10,000 hectares of borough were cultivated. He added that most of the targets had already been achieved, he added. Moreover, by the end of the month, farmers across the country continue to bring rice from their paddy fields. He blamed traders and millers for causing artificial shortages in markets. Meanwhile, government raids across the country to control prices have not been very effective from day one, he said. A drive from the market, but most of the shops appear to be closed It began a day after ordering the action to be taken, Islamic Interior Minister Khandker Anwarul said on Sunday that some conglomerates were stocking up on rice without legal approval. Bought it and changed it to when the price of other necessities went up. Now it's a party. He said he's working really hard to cut spending but is failing, criticizing one of the country's largest rice markets Our correspondent at the market yesterday found that rice was sold for sacks per sack. Merchants said the price of sacks had risen during the week. Market owner Golam Ravani said the prices were changing almost daily, while he blamed the mill owner for this. Lee's co-secretary argued that mill owners are buying the rice at a higher price. Rice prices rose per party on Saturday, according to managing director Eun, who criticized rice prices, but farmers don't agree with the rice paddies of Rice traders blamed supply shortages in growers silver paddy prices did not rise He said he expects rice prices to drop this week as millers can produce and supply rice, and reporters from and contributed to the report."
26,"told you that Jakakao is too chewy, so it's called Naver kekekeke Naver is worth buying, but I don't buy both hahaha"
27,"Kakao stock price outlook and analysis It is an objective analysis, please do not empathize"
28,"The fun of today's compressed film is that this election was a national power operation to kill Lee Jae-myung and completely eliminate the traces of Lee Jae-myung, Gyeonggi-do."
29,"If Christmas falls on Saturday or Sunday, please designate Monday as a substitute holiday"
30,"I'm asking for the second time, the average price is 10,000 won, will your blood be dry?"
31,I'm asking the second question
32,"Summary Rice prices are rice harvest season and rice prices have risen per per day despite rice plentiful. In other kitchen markets, coarse rice prices have risen per per and fine rice sold yesterday at Coarse grain and fine rice prices have risen respectively over the past day, according to Merchants, saying that mill owners aren't supplying enough rice to the market and prices could rise further if supplies don't improve, the Commissioner said in response to the question, when farmers said that farmers had He said there was no shortage of rice in the market because more 10,000 hectares of borough were cultivated. He added that most of the targets had already been achieved, he added. Moreover, by the end of the month, farmers across the country continue to bring rice from their paddy fields. He blamed traders and millers for causing artificial shortages in markets. Meanwhile, government raids across the country to control prices have not been very effective from day one, he said. A drive from the market, but most of the shops appear to be closed It began a day after ordering the action to be taken, Islamic Interior Minister Khandker Anwarul said on Sunday that some conglomerates were stocking up on rice without legal approval. Bought it and changed it to when the price of other necessities went up. Now it's a party. He said he's working really hard to cut spending but is failing, criticizing one of the country's largest rice markets Our correspondent at the market yesterday found that rice was sold for sacks per sack. Merchants said the price of sacks had risen during the week. Market owner Golam Ravani said the prices were changing almost daily, while he blamed the mill owner for this. Lee's co-secretary argued that mill owners are buying the rice at a higher price. Rice prices rose per party on Saturday, according to managing director Eun, who criticized rice prices, but farmers don't agree with the rice paddies of Rice traders blamed supply shortages in growers silver paddy prices did not rise He said he expects rice prices to drop this week as millers can produce and supply rice, and reporters from and contributed to the report."
33,Influx of buying force on good news
34,I'm going to put the circle up and take out the herbal crab today ㅋㅋㅋㅋ
35,I entered Kakao Fighting
36,Escape
37,On the topic of I can barely stand ten thousand won
38,"You Aengdu said it's going to rise from the month of March, but it's not going up ㅋㅋ Again and again"
39,"No need to worry if the tech stock crashes, what kind of technology is Kakao Technology, a technology agent who steals the commercial area of the tech neighborhood Because it’s not enough to put a spoon in the taxi market, what kind of technology is the consignment agent market? Please"
40,ㅇㅇㅇ These are the textbooks of companies. People who don't have a vision. They don't have any technology and they don't.
41,Is it now
42,The collapse is something like Naver's minions Always falling a lot more than Naver Always a little bit better than Naver Nothing is better than Naver Suck my shit for the rest of your life
43,One full buying opportunity today hahaha
44,In a very fucking sport like sulphur
45,It doesn't feel natural to drop it now.
46,Maybe someday I'll go upstairs in Falcao
47,"First place when it goes down on Naver, last place when it rises"
48,"I don't have a lot of basic stamina. If the NASDAQ goes down a bit, I just hit it lol. Stop splitting it up really."
49,Short covering Tongjeong floor
50,"Let's buy in installments, this amount is cheap, let's buy it quickly"
51,What is it that the rebound can't even be done?
52,What is this? It's okay.
53,This is because of YouTube.
54,It's a short sale restaurant.
55,Monday Kakao food delivery starts ㅅㅅ Today Kakao food delivery release date ㅅ It's the Kakao Picker opening day.
56,"Aigoi, let's see"
57,"Kakao employees are full. People outside are envious of Kakao employees. They complain. There has been a saying for a long time that if you treat your servants well, you will not know your boss."
58,"Don't give me a week, don't give it to strangers at a cheap price."
59,"I get tired of waiting for it to exceed 100,000 won any time."
60,I feel like it will roll up in the afternoon haha
61,"Don't give me a week. If you buy stock, take it with you. Cacao goes up if you have it. Keep it until the end."
62,"What is the person who pays a membership fee of 2 million won? Naver KEPCO Kakao Bio Farm, which is recommended"
63," If you put it on, you will become a crooked dwarf. Take it off now."
64,I want it hahahahahahahahahaha
65," Besides, if people gather, they become distorted and dwarfs. Get rid of those people now."
66,"Stop mopping the ants, let's go up, roll it up quickly and lift it up"
67,It has begun. Today is the day to record a legend.
68, Gazah
69,The effect of Yoon Do-ri's election is over keke The scalability is over. The jerks are over. Kakao said it was not attractive because it was a representative physical division company. They said that scalability is life. Have you given up on it or will you become a shareholder-friendly company? Are you going to become a company crazy about gifts through a complex governance structure to lay a foothold for the three management?
70,You still haven't received your paycheck.
71,"You have to follow Naver, go go go"
72,"Naver is not the master of beekeeping, Kakao is not the leader of beekeeping, but why is it saying that you buy it on YouTube, so if you buy it, it will never go up and the leader is Cheonbo RNF EcoproBM. Go and look at the charts."
73,cacao will be fine
74,Kakao Fighting Let's cheer up today and ride the upward trend.
75,He doesn't seem to have a way to revive. Is the owner's limit coming out? It's almost a garbage company.
76," Dog, fuck, stop, let's go up, this garbage, if you want it to go up just a little, go for a short sale."
77,It is a valuation that can be justified under the assumption that high growth rate of Kakao's five major business divisions is maintained.
78,"It's been on Naver since a few days ago, so I haven't bought it yet."
79,Don't compare with Naver. Naver is listed here and there like Kakao and it looks like a window to sell your body.
80,"Don't be noisy anymore, let's go up, let's all join forces and climb up"
81,"Calm down, is this guy who says he's going to be late? Is he kidding you? Put it up quickly in a situation where it has to double. Don't just think about filling your stomach."
82,"Critics' play starter is down, but I can laugh"
83,"Ah, I can't even breathe"
84,Evacuate to King God Hawk Naber
85,"Yoon Seok-yeol raises Joo Joo, who is Gae Kao’s last vocalist. Does that make sense?"
86,The half cacao is going to rise anytime soon.
87,"The stock market targets are too high, they have been bitten, and they have to escape."
88,"I ask for the third time, the critics are full. My blood is dry. I am thirsty. Is it possible to escape within the moon?"
89,"They're still encouraging me to say I'm a young owl, but it's a super ant, so I just take billions of monthly memberships"
