full date,Item name,all
2022.06.01 05:23,cacao,"At this time, the main KAKAO is swept away by Chosun... 5 out of 7 main news, 1 Chosun, 1 Donga, Internet media....This is why the stock price is so..."
2022.06.01 08:44,cacao,"get a lot of money and it's dissatisfying that I have the audio line open during working hours, so I guess I just want to lie down at home and watch TV. just go to work Even though the stock price has been cut in half, I am getting a lot of complaints as I am being punished by raising bonuses and salaries."
2022.06.01 08:59,cacao,"Grandpa Yoo Young-doo is very disappointing~~^^ This is a comment about Grandpa Yoo Young-doo left in the torn room. When I see comments like ""Suspicious of a behemoth"" ""It looks like a scammer"" ""If you don't know if you're a scammer while watching Youngdu's broadcast, stop stocking"" I feel very disappointed in my grandfather. Grandpa, aren't these comments true? I only trust my grandfather"
2022.06.01 09:29,cacao,"I don't know what he's doing, but he's trying to sit comfortably in the seat Kim Bum-soo created and eat raw as an excuse for the metaverse."
2022.06.01 09:37,cacao,"An unwritten Yankee puppet who wants to fight a 500-year war!!! We were originally one, but we were forcibly divided by the US and the Soviet Union. The Jewish Yankee military-industrial complexes, who said they had no tears of blood, were a sad nation of misfortune, in which 3 million bloodlines were slaughtered at 6.25 for an astronomical use of weapons. In the 77th year of the occupation of the Yankees, the only army in the world in the form of a Yankee puppet without OPCON! North Korea is an illegal group of criminals under domestic law, and it is the target of unification, not the main enemy. In the words of former US Secretary of State ""Tillerson"", I saw Japan as an ally and South Korea as a partner! In other words, in the US diplomacy, alliance-friend-partner, South Korea is not a friend, but a partner, that is, a minion, but loyal to the humiliation of being robbed of more than 10 billion a day for a garrison fee by attacking the alliance?"
2022.06.01 10:00,cacao,"Jeolla-do Do you still have cannibal culture? I want to travel, please tell me a safe area"
2022.06.01 10:25,cacao,Holding company rebounds Land price rises Kazua
2022.06.01 11:13,cacao,"●●●In June, as a KAKAO shareholder 59●●●The long-term decline is now adjusting the stock price ahead of a short-term goal. June will be a month of marching with the goal of 100,000.com, and it will take a long time, but digital time is a karma that the world has to accept. I will be cheering. Ps. I will only post once a month from now on."
2022.06.01 12:12,cacao,"[The bus token doesn't have the word Z, but...] Z is the Z of the word Luke is familiar with."
2022.06.01 13:29,cacao,"Have you verified that you are receiving the minimum wage for a representative? I'm curious. By the way, how much is the Shuka rating?"
2022.06.01 13:43,cacao,"High school student voting rights should be abolished. High school 3 voting rights should be reconsidered, as certain political forces make schools political and students become political instruments. '(Article 6 Paragraph 1), 'Teachers shall not guide or instigate students to support or oppose a specific political party or political faction' (Article 14 Paragraph 4). It makes no sense that the ideological confrontation between conservatives and progressives pollutes schools, and that even politicians and ideological forces enter high school. collide In addition, it is in direct opposition to the Youth Protection Act, which stipulates that under the age of 19 is a juvenile based on the Civil Act and protects from harmful substances such as alcohol and tobacco, as well as harmful businesses and harmful media. As such, it is necessary to discuss the side effects and confusion caused by the adjustment of the adult age and to revisit laws and regulations and come up with countermeasures. Most of the students are left-leaning, but it's obvious where the student votes will go. Don't politicize the students. Do not politicize the students, and make the character education straight. After the teacher woke him up and scolded him, he went outside and arrested a high school student who stole a knife and stabbed him."" Related article: https://www.joongang.co.kr/article/25063857 Isn't this the work of the left-wing superintendent of education and teaching staff? If you are in high school, you are a minor. You must reconsider your voting rights at the age of 18."
2022.06.01 13:58,cacao,"Are high school students teenagers these days? Elementary school students also drink and smoke. Or, like in the 80's and 90's, do you allow teachers to spit with their bare fists and be punished with corporal punishment?"
2022.06.01 14:16,cacao,"Let's go on like this, let's go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go let"
2022.06.01 14:48,cacao,I told you to be careful with the back of your head
2022.06.01 15:00,cacao,5th year shareholders Let's rest today and run again tomorrow
2022.06.01 15:33,cacao,"11954811954821 W5 success, M5 failure"
2022.06.01 16:14,cacao,Metaverse work system Metaverse work system https://m.dcinside.com/mini/kakaostock/166
